outbreakid,caselogid,casedate,casedateupdate,accuracy,census,numberclinical,numbervaccinated,breedgen,breed,sexgen,age,premisestype,del,vaccstatus,vaccdate,vaccclass,vaccinfo,dayssincevaccination,earliestsample,premisescategory
332,637,09/12/2020,09/12/2020,uncertain,12,2,0,undefined,undefined,unknown,NA,private,FALSE,unvaccinated,NA,NA,NA,NA,09/12/2020,private
350,668,08/11/2021,08/11/2021,accurate,30,1,NA,UK native pony breeds,pony welsh D,female,4,livery,FALSE,unvaccinated,NA,NA,NA,NA,09/11/2021,commercial
349,664,04/11/2021,04/11/2021,accurate,4,1,1,Sports horses,irish sports horse,male non-intact,3,private,FALSE,unknown,NA,NA,NA,NA,05/11/2021,private
362,691,01/12/2021,01/12/2021,accurate,4,1,4,Sports horses,irish sports horse,male non-intact,6,private,FALSE,unvaccinated,NA,NA,NA,NA,02/12/2021,private
333,638,04/12/2020,04/12/2020,uncertain,35,2,10,undefined,undefined,unknown,NA,undefined,FALSE,unvaccinated,NA,NA,NA,NA,04/12/2020,undefined
331,636,01/12/2020,29/11/2020,mod accurate,6,1,NA,undefined,undefined,female,2,private,FALSE,unvaccinated,NA,NA,NA,NA,01/12/2020,private
336,642,02/03/2021,23/02/2021,inaccurate,NA,1,NA,undefined,undefined,male intact,3,private,FALSE,unvaccinated,NA,NA,NA,NA,02/03/2021,private
335,641,23/02/2021,16/02/2021,inaccurate,9,9,0,undefined,undefined,unknown,5,undefined,FALSE,unvaccinated,08/02/2021,V1,unknown - unknown,8,19/02/2021,undefined
334,639,23/02/2021,23/02/2021,uncertain,40,NA,NA,undefined,undefined,male intact,0.66,undefined,FALSE,unvaccinated,NA,NA,NA,NA,16/02/2021,undefined
337,643,03/03/2021,03/03/2021,accurate,30,1,29,UK native horse breeds,cob,female,10,undefined,FALSE,vaccinated,29/10/2020,V2,Equilis Prequenza - MSD,125,03/03/2021,undefined
390,717,28/10/2022,28/10/2022,accurate,36,4,NA,UK native pony breeds,pony shetland,female,12,stud,FALSE,unvaccinated,NA,NA,NA,NA,24/10/2022,private
363,693,04/12/2021,04/12/2021,accurate,4,1,3,UK native pony breeds,pony shetland miniature,female,3,private,FALSE,unvaccinated,NA,NA,NA,NA,07/12/2021,private
370,700,19/03/2022,19/03/2022,accurate,20,1,15,undefined,undefined,unknown,NA,livery,FALSE,unvaccinated,NA,NA,NA,NA,20/03/2022,commercial
386,714,13/09/2022,13/09/2022,accurate,15,1,14,Sports horses,warmblood,female,3,private,FALSE,unvaccinated,NA,NA,NA,NA,12/09/2022,private
388,715,27/10/2022,27/10/2022,accurate,NA,1,NA,UK native pony breeds,pony shetland,female,NA,yard - sales,FALSE,unknown,NA,NA,NA,NA,27/10/2022,commercial
389,716,27/10/2022,27/10/2022,accurate,7,7,0,UK native pony breeds,pony shetland,female,NA,yard - general,FALSE,unvaccinated,NA,NA,NA,NA,27/10/2022,other
390,719,28/10/2022,28/10/2022,accurate,36,4,NA,UK native pony breeds,pony shetland,female,0.5,stud,FALSE,unvaccinated,NA,NA,NA,NA,27/10/2022,private
408,757,14/12/2022,14/12/2022,accurate,6,2,NA,UK native horse breeds,cob,male non-intact,5,livery - private,FALSE,unknown,NA,NA,NA,NA,07/12/2022,private
435,790,10/01/2023,10/01/2023,accurate,11,1,6,UK native horse breeds,cob,female,12,livery - private,FALSE,unknown,NA,NA,NA,NA,05/01/2023,private
465,826,30/06/2023,30/06/2023,accurate,20,4,NA,undefined,undefined,female,4,riding school,FALSE,unvaccinated,NA,NA,NA,NA,30/06/2023,commercial
330,628,26/06/2020,24/06/2020,mod accurate,5,1,3,undefined,undefined,unknown,NA,undefined,FALSE,unvaccinated,NA,NA,NA,NA,26/06/2020,undefined
409,758,16/12/2022,16/12/2022,accurate,6,2,NA,UK native pony breeds,pony shetland,male general,12,livery - private,FALSE,unvaccinated,NA,NA,NA,NA,06/12/2022,private
338,645,28/03/2021,26/03/2021,mod accurate,1,1,0,Non UK native horses,andalusian,male intact,3,undefined,FALSE,unvaccinated,NA,NA,NA,NA,28/03/2021,undefined
364,694,13/12/2021,13/12/2021,accurate,3,1,2,UK native pony breeds,connemara,male non-intact,3,private,FALSE,unvaccinated,NA,NA,NA,NA,14/12/2021,private
391,720,29/10/2022,29/10/2022,accurate,6,3,0,UK native pony breeds,pony shetland,female,10,private,FALSE,unvaccinated,NA,NA,NA,NA,29/10/2022,private
401,741,05/11/2022,05/11/2022,accurate,16,1,NA,Sports horses,warmblood,female,2,yard - competition,FALSE,unvaccinated,NA,NA,NA,NA,04/11/2022,commercial
351,671,15/11/2021,15/11/2021,accurate,12,1,10,UK native horse breeds,cob,female,11,livery,FALSE,vaccinated,19/11/2020,1st booster after primary,ProteqFlu - Boehringer,361,15/11/2021,commercial
