outbreakid,regiongid,regionname
410,124,Yorkshire - North
324,105,Essex
326,101,Dorset
413,39,Northamptonshire
330,105,Essex
331,119,Manchester
332,106,London
333,117,Cheshire
334,2,North Ayrshire
335,99,Somerset
336,109,Wiltshire
338,116,Staffordshire
340,105,Essex
343,98,Devon
344,105,Essex
345,21,Herefordshire
346,12,Oxfordshire
337,28,Midlothian
374,40,Warwickshire
348,3,Surrey
341,36,West Sussex
360,2,North Ayrshire
349,123,Yorkshire - East
350,106,London
351,40,Warwickshire
352,124,Yorkshire - North
354,39,Northamptonshire
355,119,Manchester
353,124,Yorkshire - North
361,12,Oxfordshire
362,112,Lincolnshire
363,114,Shropshire
364,124,Yorkshire - North
368,40,Warwickshire
367,116,Staffordshire
366,103,East Sussex
365,124,Yorkshire - North
369,117,Cheshire
347,2,North Ayrshire
370,3,Surrey
397,100,Gloucestershire
384,9,Scottish Borders
386,112,Lincolnshire
388,107,Bedfordshire
389,21,Herefordshire
390,122,Yorkshire - South
391,27,Dumfries and Galloway
392,113,West Midlands
393,115,Derbyshire
394,12,Oxfordshire
396,91,Fife
398,110,Leicestershire
399,87,Newport
400,54,Carmarthenshire
401,117,Cheshire
402,112,Lincolnshire
403,123,Yorkshire - East
404,105,Essex
405,100,Gloucestershire
407,120,Lancashire
408,104,Kent
409,120,Lancashire
412,117,Cheshire
420,66,Worcestershire
423,82,Hertfordshire
426,120,Lancashire
428,98,Devon
432,12,Oxfordshire
433,120,Lancashire
435,68,Perth and Kinross
465,107,Bedfordshire
464,66,Worcestershire
461,117,Cheshire
458,12,Oxfordshire
457,12,Oxfordshire
456,117,Cheshire
455,36,West Sussex
450,60,East Lothian
441,106,London
466,54,Carmarthenshire
474,83,West Lothian
469,105,Essex
470,98,Devon
471,69,Norfolk
472,104,Kent
477,66,Worcestershire
480,104,Kent
483,16,Flintshire
485,116,Staffordshire
473,83,West Lothian
411,53,Conwy County Borough
385,48,East Dunbartonshire
544,104,Kent
545,81,Falkirk
488,125,Durham
489,126,Cambridgeshire
496,7,Buckinghamshire
498,69,Norfolk
499,34,Northumberland
514,69,Norfolk
520,124,Yorkshire - North
548,104,Kent
550,124,Yorkshire - North
555,104,Kent
546,117,Cheshire
549,125,Durham
552,40,Warwickshire
553,16,Flintshire
554,119,Manchester
557,121,Yorkshire - West
558,116,Staffordshire
559,124,Yorkshire - North
560,106,London
561,69,Norfolk
547,40,Warwickshire
571,85,Aberdeenshire
572,69,Norfolk
573,116,Staffordshire
574,34,Northumberland
577,24,South Ayrshire
580,79,Rhondda Cynon Taf
583,117,Cheshire
584,114,Shropshire
585,100,Gloucestershire
586,124,Yorkshire - North
587,119,Manchester
