outbreakid,movementcategorydirection,movementcategoryanimalclass,movementcategorytime,timeperiod,associatedholdingtype,movementquantityactual,quantity
363,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
332,onto premises,non-resident,permanent,< 1 week,undefined,2,new arrival is a case
333,onto premises,non-resident,permanent,< 1 week,undefined,2,new arrival is a case
335,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
362,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
338,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
340,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
341,onto premises,non-resident,permanent,<4 weeks,undefined,NA,minority
341,onto premises,non-resident,permanent,<4 weeks,undefined,1,minority
341,onto premises,non-resident,temporary,<2 weeks,undefined,10,minority
343,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
347,onto premises,non-resident,temporary,<2 weeks,undefined,1,minority
326,onto premises,non-resident,permanent,< 1 week,undefined,2,minority
330,onto premises,non-resident,permanent,<2 weeks,undefined,NA,new arrival is a case
330,onto premises,non-resident,permanent,<2 weeks,undefined,1,new arrival is a case
331,onto premises,non-resident,permanent,<2 weeks,undefined,1,new arrival is a case
345,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
337,onto premises,non-resident,permanent,<3 weeks,undefined,1,minority
336,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
348,onto premises,non-resident,permanent,<2 weeks,undefined,1,minority
349,onto premises,non-resident,permanent,< 1 week,sale,3,majority
351,onto premises,non-resident,permanent,<2 weeks,undefined,NA,NA
351,onto premises,non-resident,permanent,<2 weeks,undefined,2,minority
353,onto premises,non-resident,permanent,< 1 week,sale,1,new arrival is a case
354,off premises,resident,temporary,<3 weeks,undefined,NA,NA
360,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
360,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
350,onto premises,non-resident,permanent,< 1 week,lairage,NA,minority
352,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
346,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
344,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
355,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
361,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
407,off premises,resident,temporary,< 1 week,undefined,NA,undefined
364,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
392,onto premises,non-resident,permanent,< 1 week,yard - sales,1,minority
370,onto premises,non-resident,permanent,< 1 week,lairage,1,new arrival is a case
365,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
366,onto premises,non-resident,permanent,< 1 week,undefined,1,minority
369,onto premises,non-resident,permanent,< 1 week,undefined,1,new arrival is a case
385,onto premises,non-resident,temporary,< 1 week,undefined,NA,unknown
407,onto premises,non-resident,permanent,<3 months,undefined,1,undefined
392,off premises,resident,temporary,< 1 week,yard - sales,1,na
420,onto premises,non-resident,permanent,<2 weeks,undefined,1,new arrival is a case
398,onto premises,non-resident,permanent,<2 weeks,undefined,2,new arrival is a case
396,off premises,resident,temporary,< 1 week,event,NA,undefined
389,onto premises,non-resident,permanent,<2 weeks,sale,1,new arrival is a case
401,onto premises,non-resident,permanent,<2 weeks,undefined,1,new arrival is a case
400,onto premises,non-resident,permanent,<2 weeks,sales,NA,new arrival is a case
405,off premises,resident,temporary,< 1 week,event,NA,undefined
